Song,ARTIST,Release Year,COMBINED,PlayCount
Smells Like Teen Spirit,Nirvana,1991,Smells Like Teen Spirit by Nirvana,24
"Mama, I'm Coming Home",Ozzy Osbourne,1991,"Mama, I'm Coming Home by Ozzy Osbourne",31
No More Tears,Ozzy Osbourne,1991,No More Tears by Ozzy Osbourne,8
Road To Nowhere,Ozzy Osbourne,1991,Road To Nowhere by Ozzy Osbourne,1
Alive,Pearl Jam,1991,Alive by Pearl Jam,16
Black,Pearl Jam,1991,Black by Pearl Jam,11
Even Flow,Pearl Jam,1991,Even Flow by Pearl Jam,16
Jeremy,Pearl Jam,1991,Jeremy by Pearl Jam,16
THESE ARE THE DAYS OF OUR LI,Queen,1991,THESE ARE THE DAYS OF OUR LI by Queen,1
Losing My Religion,R.E.M.,1991,Losing My Religion by R.E.M.,27
Give It Away,Red Hot Chili Peppers,1991,Give It Away by Red Hot Chili Peppers,7
Under the Bridge,Red Hot Chili Peppers,1991,Under the Bridge by Red Hot Chili Peppers,28
Two Princes,Spin Doctors,1991,Two Princes by Spin Doctors,1
Learning To Fly,Tom Petty & The Heartbreakers,1991,Learning To Fly by Tom Petty & The Heartbreakers,23
Even Better Than the Real Thing,U2,1991,Even Better Than the Real Thing by U2,3
Mysterious Ways,U2,1991,Mysterious Ways by U2,38
One,U2,1991,One by U2,18
Poundcake,Van Halen,1991,Poundcake by Van Halen,1
Right Now,Van Halen,1991,Right Now by Van Halen,25
What's Up?,4 Non Blondes,1992,What's Up? by 4 Non Blondes,3
Down in a Hole,Alice In Chains,1992,Down in a Hole by Alice In Chains,1
Rooster,Alice In Chains,1992,Rooster by Alice In Chains,2
Them Bones,Alice In Chains,1992,Them Bones by Alice In Chains,2
Would?,Alice In Chains,1992,Would? by Alice In Chains,2
No Rain,Blind Melon,1992,No Rain by Blind Melon,2
Hey Jealousy,Gin Blossoms,1992,Hey Jealousy by Gin Blossoms,3
Mr. Tinkertrain,Ozzy Osbourne,1992,Mr. Tinkertrain by Ozzy Osbourne,1
Yellow Ledbetter,Pearl Jam,1992,Yellow Ledbetter by Pearl Jam,2
Man On the Moon,R.E.M.,1992,Man On the Moon by R.E.M.,23
Breaking the Girl,Red Hot Chili Peppers,1992,Breaking the Girl by Red Hot Chili Peppers,1
Plush,Stone Temple Pilots,1992,Plush by Stone Temple Pilots,33
Remedy,The Black Crowes,1992,Remedy by The Black Crowes,7
Life Is a Highway,Tom Cochrane,1992,Life Is a Highway by Tom Cochrane,10
Big Gun,AC/DC,1993,Big Gun by AC/DC,6
Crazy,Aerosmith,1993,Crazy by Aerosmith,7
Cryin',Aerosmith,1993,Cryin' by Aerosmith,15
Livin' On The Edge,Aerosmith,1993,Livin' On The Edge by Aerosmith,27
Far Behind,Candlebox,1993,Far Behind by Candlebox,3
Shine,Collective Soul,1993,Shine by Collective Soul,20
Mr. Jones,Counting Crows,1993,Mr. Jones by Counting Crows,2
Low,Cracker,1993,Low by Cracker,2
Found Out About You,Gin Blossoms,1993,Found Out About You by Gin Blossoms,1
Are You Gonna Go My Way,Lenny Kravitz,1993,Are You Gonna Go My Way by Lenny Kravitz,11
I'm the Only One,Melissa Etheridge,1993,I'm the Only One by Melissa Etheridge,1
All Apologies,Nirvana,1993,All Apologies by Nirvana,15
Dumb,Nirvana,1993,Dumb by Nirvana,1
Daughter,Pearl Jam,1993,Daughter by Pearl Jam,10
Elderly Woman Behind the Counter in a Small Town,Pearl Jam,1993,Elderly Woman Behind the Counter in a Small Town by Pearl Jam,2
Soul to Squeeze,Red Hot Chili Peppers,1993,Soul to Squeeze by Red Hot Chili Peppers,8
Today,Smashing Pumpkins,1993,Today by Smashing Pumpkins,2
Creep,Stone Temple Pilots,1993,Creep by Stone Temple Pilots,7
Mary Jane's Last Dance,Tom Petty & The Heartbreakers,1993,Mary Jane's Last Dance by Tom Petty & The Heartbreakers,51
No Excuses,Alice In Chains,1994,No Excuses by Alice In Chains,2
No One to Run With,Allman Brothers Band,1994,No One to Run With by Allman Brothers Band,3
Loser,Beck,1994,Loser by Beck,1
Comedown,Bush,1994,Comedown by Bush,5
Machinehead,Bush,1994,Machinehead by Bush,3
Basket Case,Green Day,1994,Basket Case by Green Day,5
Longview,Green Day,1994,Longview by Green Day,2
When I Come Around,Green Day,1994,When I Come Around by Green Day,14
Lightning Crashes,Live,1994,Lightning Crashes by Live,4
Better Man,Pearl Jam,1994,Better Man by Pearl Jam,17
Dissident,Pearl Jam,1994,Dissident by Pearl Jam,2
Not for You,Pearl Jam,1994,Not for You by Pearl Jam,1
Keep Talking,Pink Floyd,1994,Keep Talking by Pink Floyd,4
Take It Back,Pink Floyd,1994,Take It Back by Pink Floyd,1
Black Hole Sun,Soundgarden,1994,Black Hole Sun by Soundgarden,16
Fell On Black Days,Soundgarden,1994,Fell On Black Days by Soundgarden,4
Spoonman,Soundgarden,1994,Spoonman by Soundgarden,6
Big Empty,Stone Temple Pilots,1994,Big Empty by Stone Temple Pilots,7
Interstate Love Song,Stone Temple Pilots,1994,Interstate Love Song by Stone Temple Pilots,23
Vasoline,Stone Temple Pilots,1994,Vasoline by Stone Temple Pilots,3
Come Out and Play,The Offspring,1994,Come Out and Play by The Offspring,4
Self Esteem,The Offspring,1994,Self Esteem by The Offspring,4
You Don't Know How It Feels,Tom Petty & The Heartbreakers,1994,You Don't Know How It Feels by Tom Petty & The Heartbreakers,31
You Wreck Me,Tom Petty & The Heartbreakers,1994,You Wreck Me by Tom Petty & The Heartbreakers,41
Buddy Holly,Weezer,1994,Buddy Holly by Weezer,2
Hard As A Rock,AC/DC,1995,Hard As A Rock by AC/DC,1
Hand In My Pocket,Alanis Morissette,1995,Hand In My Pocket by Alanis Morissette,1
You Oughta Know,Alanis Morissette,1995,You Oughta Know by Alanis Morissette,6
The World I Know,Collective Soul,1995,The World I Know by Collective Soul,1
Counting Blue Cars,Dishwalla,1995,Counting Blue Cars by Dishwalla,3
Brain Stew/Jaded,Green Day,1995,Brain Stew/Jaded by Green Day,1
Wonderwall,Oasis,1995,Wonderwall by Oasis,3
Perry Mason,Ozzy Osbourne,1995,Perry Mason by Ozzy Osbourne,2
1979,Smashing Pumpkins,1995,1979 by Smashing Pumpkins,3
Bullet With Butterfly Wings,Smashing Pumpkins,1995,Bullet With Butterfly Wings by Smashing Pumpkins,1
Santa Monica,Everclear,1996,Santa Monica by Everclear,2
Bound for the Floor,Local H,1996,Bound for the Floor by Local H,2
Hero of the Day,Metallica,1996,Hero of the Day by Metallica,1
Until It Sleeps,Metallica,1996,Until It Sleeps by Metallica,2
Test For Echo,Rush,1996,Test For Echo by Rush,23
Burden in My Hand,Soundgarden,1996,Burden in My Hand by Soundgarden,1
What I Got,Sublime,1996,What I Got by Sublime,4
Wrong Way,Sublime,1996,Wrong Way by Sublime,2
One Headlight,The Wallflowers,1996,One Headlight by The Wallflowers,2
Pink,Aerosmith,1997,Pink by Aerosmith,1
Song 2,Blur,1997,Song 2 by Blur,3
Everlong,Foo Fighters,1997,Everlong by Foo Fighters,6
Monkey Wrench,Foo Fighters,1997,Monkey Wrench by Foo Fighters,3
My Hero,Foo Fighters,1997,My Hero by Foo Fighters,7
Good Riddance (Time Of Your Life),Green Day,1997,Good Riddance (Time Of Your Life) by Green Day,10
Fuel,Metallica,1997,Fuel by Metallica,2
The Memory Remains,Metallica,1997,The Memory Remains by Metallica,3
Semi-Charmed Life,Third Eye Blind,1997,Semi-Charmed Life by Third Eye Blind,1
Cowboy,Kid Rock,1998,Cowboy by Kid Rock,3
American Woman,Lenny Kravitz,1998,American Woman by Lenny Kravitz,4
Fly Away,Lenny Kravitz,1998,Fly Away by Lenny Kravitz,10
Breadfan,Metallica,1998,Breadfan by Metallica,2
Iris,The Goo Goo Dolls,1998,Iris by The Goo Goo Dolls,2
The Kids Aren't Alright,The Offspring,1998,The Kids Aren't Alright by The Offspring,1
All the Small Things,Blink-182,1999,All the Small Things by Blink-182,1
Higher,Creed,1999,Higher by Creed,4
With Arms Wide Open,Creed,1999,With Arms Wide Open by Creed,1
What It's Like,Everlast,1999,What It's Like by Everlast,4
Learn To Fly,Foo Fighters,1999,Learn To Fly by Foo Fighters,10
My Own Worst Enemy,Lit,1999,My Own Worst Enemy by Lit,2
No Leaf Clover,Metallica,1999,No Leaf Clover by Metallica,1
Last Kiss,Pearl Jam,1999,Last Kiss by Pearl Jam,3
Californication,Red Hot Chili Peppers,1999,Californication by Red Hot Chili Peppers,4
Scar Tissue,Red Hot Chili Peppers,1999,Scar Tissue by Red Hot Chili Peppers,8
Put Your Lights On (feat. Everlast),Santana,1999,Put Your Lights On (feat. Everlast) by Santana,2
Smooth,Santana,1999,Smooth by Santana,2
All Star,Smash Mouth,1999,All Star by Smash Mouth,2
Kryptonite,3 Doors Down,2000,Kryptonite by 3 Doors Down,13
Loser,3 Doors Down,2000,Loser by 3 Doors Down,1
Beautiful Day,U2,2000,Beautiful Day by U2,7
Jaded,Aerosmith,2001,Jaded by Aerosmith,1
How You Remind Me,Nickelback,2001,How You Remind Me by Nickelback,4
Blurry,Puddle of Mudd,2001,Blurry by Puddle of Mudd,1
It's Been Awhile,Staind,2001,It's Been Awhile by Staind,4
When I'm Gone,3 Doors Down,2002,When I'm Gone by 3 Doors Down,6
Like a Stone,Audioslave,2002,Like a Stone by Audioslave,1
All My Life,Foo Fighters,2002,All My Life by Foo Fighters,2
Times Like These,Foo Fighters,2002,Times Like These by Foo Fighters,1
No One Knows,Queens of the Stone Age,2002,No One Knows by Queens of the Stone Age,1
By the Way,Red Hot Chili Peppers,2002,By the Way by Red Hot Chili Peppers,1
Are You Gonna Be My Girl,Jet,2003,Are You Gonna Be My Girl by Jet,1
45,Shinedown,2003,45 by Shinedown,2
Seven Nation Army,The White Stripes,2003,Seven Nation Army by The White Stripes,1
Boulevard Of Broken Dreams,Green Day,2004,Boulevard Of Broken Dreams by Green Day,6
Holiday (Live),Green Day,2004,Holiday (Live) by Green Day,4
Holiday / Boulevard of Broken Dreams,Green Day,2004,Holiday / Boulevard of Broken Dreams by Green Day,5
Cold Hard Bitch,Jet,2004,Cold Hard Bitch by Jet,2
Vertigo,U2,2004,Vertigo by U2,3
Best of You,Foo Fighters,2005,Best of You by Foo Fighters,1
Photograph,Nickelback,2005,Photograph by Nickelback,1
Rockstar,Nickelback,2005,Rockstar by Nickelback,10
Remedy,Seether,2005,Remedy by Seether,1
Get Together,The Youngbloods,2005,Get Together by The Youngbloods,2
Dani California,Red Hot Chili Peppers,2006,Dani California by Red Hot Chili Peppers,3
Sorry,Buckcherry,2007,Sorry by Buckcherry,1
The Pretender,Foo Fighters,2007,The Pretender by Foo Fighters,1
All Summer Long,Kid Rock,2007,All Summer Long by Kid Rock,8
Sex On Fire,Kings of Leon,2008,Sex On Fire by Kings of Leon,1
Use Somebody,Kings of Leon,2008,Use Somebody by Kings of Leon,2
Goodbye Daughters of the Revolution,The Black Crowes,2008,Goodbye Daughters of the Revolution by The Black Crowes,1
These Days,Foo Fighters,2011,These Days by Foo Fighters,2
Gold On The Ceiling,The Black Keys,2011,Gold On The Ceiling by The Black Keys,3
Lonely Boy,The Black Keys,2011,Lonely Boy by The Black Keys,6
Radioactive,Imagine Dragons,2012,Radioactive by Imagine Dragons,3
Analog Man,Joe Walsh,2012,Analog Man by Joe Walsh,1
Funk #49,Joe Walsh,2012,Funk #49 by Joe Walsh,4
Let's Ride,Kid Rock,2012,Let's Ride by Kid Rock,1
Doom And Gloom,Rolling Stones,2012,Doom And Gloom by Rolling Stones,1
Lightning Bolt,Pearl Jam,2013,Lightning Bolt by Pearl Jam,4
Sirens,Pearl Jam,2013,Sirens by Pearl Jam,3
Dog On A Leash,Adelitas Way,2014,Dog On A Leash by Adelitas Way,4
Take Out The Gunman,Chevelle,2014,Take Out The Gunman by Chevelle,4
