Song,ARTIST,Release Year,COMBINED,PlayCount
American Woman,Guess Who,1970,American Woman by Guess Who,80
No Sugar Tonight / New Mother Nature,Guess Who,1970,No Sugar Tonight / New Mother Nature by Guess Who,11
Funk #49,James Gang,1970,Funk #49 by James Gang,18
Dolly Dagger,Jimi Hendrix,1970,Dolly Dagger by Jimi Hendrix,3
Instant Karma,John Lennon,1970,Instant Karma by John Lennon,21
Bron-y-aur Stomp,Led Zeppelin,1970,Bron-y-aur Stomp by Led Zeppelin,2
Celebration Day,Led Zeppelin,1970,Celebration Day by Led Zeppelin,4
Friends,Led Zeppelin,1970,Friends by Led Zeppelin,2
Gallows Pole,Led Zeppelin,1970,Gallows Pole by Led Zeppelin,4
Hats Off To {roy} Harper,Led Zeppelin,1970,Hats Off To {roy} Harper by Led Zeppelin,8
Hey Hey What Can I Do,Led Zeppelin,1970,Hey Hey What Can I Do by Led Zeppelin,32
Immigrant Song,Led Zeppelin,1970,Immigrant Song by Led Zeppelin,87
Out On The Tiles,Led Zeppelin,1970,Out On The Tiles by Led Zeppelin,6
Since I've Been Loving You,Led Zeppelin,1970,Since I've Been Loving You by Led Zeppelin,11
TANGERINE,Led Zeppelin,1970,TANGERINE by Led Zeppelin,1
That's the Way,Led Zeppelin,1970,That's the Way by Led Zeppelin,1
Sweet Jane (Live),Lou Reed,1970,Sweet Jane (Live) by Lou Reed,1
Mississippi Queen,Mountain,1970,Mississippi Queen by Mountain,25
In the Summertime,Mungo Jerry,1970,In the Summertime by Mungo Jerry,2
Southern Man,Neil Young,1970,Southern Man by Neil Young,16
Maybe I'm Amazed,Paul McCartney & Wings,1970,Maybe I'm Amazed by Paul McCartney & Wings,53
Black Magic Woman,Santana,1970,Black Magic Woman by Santana,61
Oye Como Va,Santana,1970,Oye Como Va by Santana,37
Cecilia,Simon & Garfunkel,1970,Cecilia by Simon & Garfunkel,6
Green Eyed Lady,Sugarloaf,1970,Green Eyed Lady by Sugarloaf,5
Across The Universe,The Beatles,1970,Across The Universe by The Beatles,1
I've Got A Feeling,The Beatles,1970,I've Got A Feeling by The Beatles,3
Let It Be,The Beatles,1970,Let It Be by The Beatles,31
The Long And Winding Road,The Beatles,1970,The Long And Winding Road by The Beatles,2
Two Of Us,The Beatles,1970,Two Of Us by The Beatles,2
Peace Frog,The Doors,1970,Peace Frog by The Doors,9
Waiting For The Sun,The Doors,1970,Waiting For The Sun by The Doors,17
Funk #49,The James Gang,1970,Funk #49 by The James Gang,4
Lola,The Kinks,1970,Lola by The Kinks,40
Question,The Moody Blues,1970,Question by The Moody Blues,2
THE SEEKER,The Who,1970,THE SEEKER by The Who,1
We Gotta Get You a Woman,Todd Rundgren,1970,We Gotta Get You a Woman by Todd Rundgren,1
CRAZY LOVE,Van Morrison,1970,CRAZY LOVE by Van Morrison,1
Domino,Van Morrison,1970,Domino by Van Morrison,1
Into The Mystic,Van Morrison,1970,Into The Mystic by Van Morrison,1
Moondance,Van Morrison,1970,Moondance by Van Morrison,14
Spill the Wine,War,1970,Spill the Wine by War,2
Eighteen,Alice Cooper,1971,Eighteen by Alice Cooper,4
I'm Eighteen,Alice Cooper,1971,I'm Eighteen by Alice Cooper,24
Under My Wheels,Alice Cooper,1971,Under My Wheels by Alice Cooper,18
Statesboro Blues,Allman Brothers Band,1971,Statesboro Blues by Allman Brothers Band,4
AIN'T NO SUNSHINE,Bill Withers,1971,AIN'T NO SUNSHINE by Bill Withers,1
Sweet Leaf,Black Sabbath,1971,Sweet Leaf by Black Sabbath,34
IT'S TOO LATE,Carole King,1971,IT'S TOO LATE by Carole King,1
WILD WORLD,Cat Stevens,1971,WILD WORLD by Cat Stevens,2
Hot Rod Lincoln,Commander Cody,1971,Hot Rod Lincoln by Commander Cody,2
